#patient_id|patient_name|DOB|gender|address|city|country|phone|ins_id|ins_name|ins_amount
6|Neel Laird|14-05-2012|Male|591 Memorial Dr|Chicopee|USA|9377432442|432-31-1973|Harvard Pilgrim Health Care|75000
25|Wainwright Fulep|12-10-1979|Male|742 Main Street|North Oxford|USA|9763385713|298-64-5725|Harvard Pilgrim Health Care|75000
34|Quentin Igounet|29-08-1965|Female|450 Highland Ave|Salem|USA|9080656536|247-79-2568|Harvard Pilgrim Health Care|75000
41|Freedman Hindge|18-07-1961|Male|352 Palmer Road|Ware|USA|9033293703|708-15-0804|Harvard Pilgrim Health Care|75000
50|Lewes Piatkow|28-12-1993|Male|6265 Brockport Spencerport Rd|Brockport|USA|9766608190|824-08-2547|Harvard Pilgrim Health Care|75000
57|Celinka Todari|03-01-1986|Female|8064 Brewerton Rd|Cicero|USA|9932042472|322-10-1846|Harvard Pilgrim Health Care|75000
64|Burk Stamps|14-07-1956|Male|2465 Hempstead Turnpike|East Meadow|USA|9834646501|339-74-0560|Harvard Pilgrim Health Care|75000
73|Bev Astlatt|11-03-1982|Male|311 RT 9W|Glenmont|USA|9427388762|816-47-9680|Harvard Pilgrim Health Care|75000
81|Thorny Leming|17-03-2012|Male|135 Fairgrounds Memorial Pkwy|Ithaca|USA|9053222958|288-61-7773|Harvard Pilgrim Health Care|75000
96|Lishe Ranklin|13-01-1969|Female|3133 E Main St|Mohegan Lake|USA|9211884837|594-10-9733|Harvard Pilgrim Health Care|75000
103|Daphne Kach|25-03-1956|Female|1400 Farmington Ave|Bristol|USA|9428262445|288-21-9582|Harvard Pilgrim Health Care|75000
118|Noah Essex|30-07-1994|Male|3164 Berlin Turnpike|Newington|USA|9377540543|236-04-3926|Harvard Pilgrim Health Care|75000
126|Cullie Honnicott|02-06-1981|Male|465 Bridgeport Avenue|Shelton|USA|9028121862|733-53-0647|Harvard Pilgrim Health Care|75000
133|Mona Kebell|18-11-1956|Female|515 Sawmill Road|West Haven|USA|9891121722|545-73-4621|Harvard Pilgrim Health Care|75000
136|Wes Heigold|05-03-1977|Male|2643 Hwy 280 West|Alexander City|USA|9770739549|317-33-7088|Harvard Pilgrim Health Care|75000
152|Lizzie Sellack|05-04-1960|Female|5100 Hwy 31|Calera|USA|8943256269|479-67-4581|Harvard Pilgrim Health Care|75000
159|Conrado Czadla|14-11-1964|Male|2800 Spring Avn SW|Decatur|USA|8979779333|215-50-0710|Harvard Pilgrim Health Care|75000
168|Terrel Mattosoff|22-06-1964|Male|3100 Hough Rd|Florence|USA|8850035503|536-53-4464|Harvard Pilgrim Health Care|75000
176|Sibylla Delucia|14-02-1995|Female|11697 US Hwy 431|Guntersville|USA|8826035753|782-15-8993|Harvard Pilgrim Health Care|75000
