#patient_id|patient_name|DOB|gender|address|city|country|phone|ins_id|ins_name|ins_amount
5|Tad Sapena|23-08-2012|Male|66-4 Parkhurst Rd|Chelmsford|USA|9297187923|691-51-7147|WellCare Health Plans|245000
16|Alyse Tomkys|20-03-1980|Female|280 Washington Street|Hudson|USA|9437599134|645-34-4577|WellCare Health Plans|245000
24|Hanni Rowell|26-03-1955|Female|506 State Road|North Dartmouth|USA|9208061080|119-15-1475|WellCare Health Plans|245000
33|Ray Lillgard|24-06-1967|Female|36 Paramount Drive|Raynham|USA|9677067546|297-36-6750|WellCare Health Plans|245000
40|Agustin Gyse|01-10-1971|Male|550 Providence Hwy|Walpole|USA|9778551636|672-09-6595|WellCare Health Plans|245000
56|Halette Nibloe|12-09-2012|Female|100 Thruway Plaza|Cheektowaga|USA|9692737227|494-34-7196|WellCare Health Plans|245000
63|Klarika Farress|15-03-1977|Female|279 Troy Road|East Greenbush|USA|9698445512|846-63-1555|WellCare Health Plans|245000
72|Annabela Dignum|01-06-2015|Female|990 Route 5 20|Geneva|USA|9228924684|221-92-6579|WellCare Health Plans|245000
80|Hebert Soda|27-06-2014|Male|1400 County Rd 64|Horseheads|USA|9635386297|491-05-0122|WellCare Health Plans|245000
110|Tarrance Connow|16-07-1980|Male|2300 Dixwell Ave|Hamden|USA|9180658384|639-10-5843|WellCare Health Plans|245000
117|Aviva Pankethman|25-06-1987|Female|164 Danbury Rd|New Milford|USA|9214429805|779-63-8564|WellCare Health Plans|245000
125|Friederike Rappa|15-11-1986|Female|80 Town Line Rd|Rocky Hill|USA|9631740305|844-54-2293|WellCare Health Plans|245000
132|Lindy Sobieski|04-04-1967|Female|155 Waterford Parkway No|Waterford|USA|9013251972|411-54-7386|WellCare Health Plans|245000
142|Lin Brew|18-12-1971|Male|1717 South College Street|Auburn|USA|9425310393|193-96-0035|WellCare Health Plans|245000
151|Belle Erlam|18-04-1972|Female|2041 Douglas Avenue|Brewton|USA|8964015886|259-42-3711|WellCare Health Plans|245000
158|Anderson Sand|02-12-1988|Male|27520 Hwy 98|Daphne|USA|8891538066|172-43-0759|WellCare Health Plans|245000
167|Delphine Kippie|21-03-1969|Female|3186 Hwy 171 North|Fayette|USA|8941027145|114-36-1794|WellCare Health Plans|245000
